FOOTBALL CLUB;YEAR FOUNDED;GROUND;MANAGER;TOTAL PLAYERS;INVESTMENT MONEY
Chu tu;1886;Emirate;trung;19;765.0


NAME;FOOTBALL CLUB;YEAR OF BIRTHDAY;NATIONAL;NUMBER;POSITION;MARKET VALUE ($);SALARY ($/year)
Mohamed Elneny;Chu tu;1992;Egypt''';25;Midfielder;18.0;14.0
Gabriel Magalh�es;Chu tu;1997;Brazil''';6;Defender;40.0;16.0
Granit Xhaka;Chu tu;1992;Switzerland''';34;Midfielder;21.0;20.0
Matt Turner;Chu tu;1994;United States''';30;Goalkeeper;5.0;12.0
Jorginho;Chu tu;1991;Italy''';20;Midfielder;22.0;22.0
Aaron Ramsdale;Chu tu;1998;England''';1;Goalkeeper;30.0;15.0
Dat Thanh;Chu tu;2002;Viet Nam''';99;Midfielder;150.0;20.0
Kieran Tierney;Chu tu;1997;Scotland''';3;Defender;30.0;14.0
Eddie Nketiah;Chu tu;1999;England''';14;Striker;35.0;15.0
Gabriel Martinelli;Chu tu;2001;Brazil''';11;Striker;75.0;17.0
Martin �degaard;Chu tu;1998;Norway''';8;Midfielder;60.0;22.0
Oleksandr Zinchenko;Chu tu;1996;Ukraina''';35;Defender;35.0;23.0
Emile Smith Rowe;Chu tu;2000;England''';10;Striker;35.0;17.0
Rob Holding;Chu tu;1995;England''';16;Defender;30.0;14.0
William Saliba;Chu tu;2001;France''';12;Defender;50.0;19.0
Gabriel Jesus;Chu tu;1997;Brazil''';9;Striker;75.0;23.0
Leandro Trossard;Chu tu;1994;Belgium''';19;Midfielder;40.0;21.0
Benjamin White;Chu tu;1997;England''';4;Defender;45.0;15.0
Tomiyasu Takehiro;Chu tu;1998;Japan''';18;Defender;25.0;14.0
